timestamp,gpu,util,mem_used,mem_total,power
2026-08-02T19:17:41+09:00,1, 0, 5293, 49140, 82.93
2026-08-02T19:18:11+09:00,0, 0, 11414, 49140, 80.39
2026-08-02T19:18:11+09:00,1, 0, 5293, 49140, 99.07
2026-08-02T19:18:41+09:00,0, 100, 11414, 49140, 227.79
2026-08-02T19:18:41+09:00,1, 100, 5293, 49140, 231.42
2026-08-02T19:19:11+09:00,0, 0, 11414, 49140, 161.90
2026-08-02T19:19:11+09:00,1, 0, 5293, 49140, 168.18
2026-08-02T19:19:41+09:00,0, 78, 11414, 49140, 97.37
2026-08-02T19:19:41+09:00,1, 71, 5293, 49140, 115.58
2026-08-02T19:20:11+09:00,0, 100, 11414, 49140, 179.64
2026-08-02T19:20:11+09:00,1, 100, 5293, 49140, 177.91
2026-08-02T19:20:41+09:00,0, 100, 11414, 49140, 129.76
2026-08-02T19:20:41+09:00,1, 0, 5293, 49140, 40.98
2026-08-02T19:21:11+09:00,0, 100, 11414, 49140, 227.22
2026-08-02T19:21:11+09:00,1, 100, 5293, 49140, 228.99
2026-08-02T19:21:41+09:00,0, 0, 11414, 49140, 139.79
2026-08-02T19:21:41+09:00,1, 0, 5293, 49140, 124.52
2026-08-02T19:22:11+09:00,0, 100, 11414, 49140, 154.57
2026-08-02T19:22:11+09:00,1, 67, 5293, 49140, 151.72
2026-08-02T19:22:41+09:00,0, 100, 11414, 49140, 230.58
2026-08-02T19:22:41+09:00,1, 100, 5293, 49140, 237.03
2026-08-02T19:23:11+09:00,0, 0, 11414, 49140, 122.30
2026-08-02T19:23:11+09:00,1, 0, 5293, 49140, 84.74
2026-08-02T19:23:42+09:00,0, 9, 11414, 49140, 83.85
2026-08-02T19:23:42+09:00,1, 100, 5293, 49140, 119.76
2026-08-02T19:24:12+09:00,0, 23, 11414, 49140, 204.90
2026-08-02T19:24:12+09:00,1, 47, 5293, 49140, 211.43
2026-08-02T19:24:42+09:00,0, 0, 11414, 49140, 85.08
2026-08-02T19:24:42+09:00,1, 0, 5293, 49140, 85.04
2026-08-02T19:25:12+09:00,0, 6, 11414, 49140, 187.82
2026-08-02T19:25:12+09:00,1, 0, 5293, 49140, 181.55
2026-08-02T19:25:42+09:00,0, 100, 11414, 49140, 230.79
2026-08-02T19:25:42+09:00,1, 61, 5293, 49140, 238.00
2026-08-02T19:26:12+09:00,0, 100, 11414, 49140, 199.82
2026-08-02T19:26:12+09:00,1, 0, 5293, 49140, 44.67
2026-08-02T19:26:42+09:00,0, 24, 11414, 49140, 85.72
2026-08-02T19:26:42+09:00,1, 8, 5293, 49140, 102.16
2026-08-02T19:27:12+09:00,0, 100, 11414, 49140, 229.25
2026-08-02T19:27:12+09:00,1, 100, 5293, 49140, 233.16
2026-08-02T19:27:42+09:00,0, 0, 11414, 49140, 183.31
2026-08-02T19:27:42+09:00,1, 0, 5293, 49140, 174.95
2026-08-02T19:28:12+09:00,0, 0, 11414, 49140, 106.92
2026-08-02T19:28:12+09:00,1, 0, 5293, 49140, 86.05
2026-08-02T19:28:42+09:00,0, 0, 11414, 49140, 231.90
2026-08-02T19:28:42+09:00,1, 0, 5293, 49140, 85.46
2026-08-02T19:29:12+09:00,0, 0, 11414, 49140, 149.59
2026-08-02T19:29:12+09:00,1, 100, 5293, 49140, 65.40
2026-08-02T19:29:42+09:00,0, 97, 11414, 49140, 229.39
2026-08-02T19:29:42+09:00,1, 100, 5293, 49140, 230.55
2026-08-02T19:30:12+09:00,0, 0, 11414, 49140, 118.93
2026-08-02T19:30:12+09:00,1, 0, 5293, 49140, 104.86
2026-08-02T19:30:42+09:00,0, 80, 11414, 49140, 158.56
2026-08-02T19:30:42+09:00,1, 0, 5293, 49140, 160.26
2026-08-02T19:31:12+09:00,0, 100, 11414, 49140, 243.43
2026-08-02T19:31:12+09:00,1, 100, 5293, 49140, 237.86
2026-08-02T19:31:42+09:00,0, 0, 11414, 49140, 146.95
2026-08-02T19:31:42+09:00,1, 0, 5293, 49140, 82.17
2026-08-02T19:32:12+09:00,0, 0, 11414, 49140, 168.95
2026-08-02T19:32:12+09:00,1, 100, 5293, 49140, 165.39
2026-08-02T19:32:42+09:00,0, 0, 11414, 49140, 223.84
2026-08-02T19:32:42+09:00,1, 0, 5293, 49140, 228.47
2026-08-02T19:33:12+09:00,0, 0, 11414, 49140, 108.82
2026-08-02T19:33:12+09:00,1, 0, 5293, 49140, 114.57
2026-08-02T19:33:42+09:00,0, 100, 11414, 49140, 161.26
2026-08-02T19:33:42+09:00,1, 100, 5293, 49140, 157.74
2026-08-02T19:34:12+09:00,0, 100, 11414, 49140, 229.22
2026-08-02T19:34:12+09:00,1, 100, 5293, 49140, 230.99
2026-08-02T19:34:42+09:00,0, 57, 11414, 49140, 138.19
2026-08-02T19:34:42+09:00,1, 0, 5293, 49140, 39.92
2026-08-02T19:35:12+09:00,0, 100, 11414, 49140, 216.31
2026-08-02T19:35:12+09:00,1, 100, 5293, 49140, 215.02
2026-08-02T19:35:42+09:00,0, 0, 11414, 49140, 186.49
2026-08-02T19:35:42+09:00,1, 0, 5293, 49140, 193.98
2026-08-02T19:36:12+09:00,0, 0, 11414, 49140, 85.11
2026-08-02T19:36:12+09:00,1, 0, 5293, 49140, 87.48
2026-08-02T19:36:43+09:00,0, 45, 11414, 49140, 149.58
2026-08-02T19:36:43+09:00,1, 5, 5293, 49140, 146.33
2026-08-02T19:37:13+09:00,0, 0, 11414, 49140, 146.66
2026-08-02T19:37:13+09:00,1, 0, 5293, 49140, 83.83
2026-08-02T19:37:43+09:00,0, 2, 11414, 49140, 80.89
2026-08-02T19:37:43+09:00,1, 100, 5293, 49140, 120.35
2026-08-02T19:38:13+09:00,0, 100, 11414, 49140, 218.32
2026-08-02T19:38:13+09:00,1, 100, 5293, 49140, 215.15
2026-08-02T19:38:43+09:00,0, 68, 11414, 49140, 191.82
2026-08-02T19:38:43+09:00,1, 0, 5293, 49140, 200.34
2026-08-02T19:39:13+09:00,0, 0, 11414, 49140, 110.25
